>mml
ACT     MSCBC1                    AD-244  TIME 240425 1120  OPGROUP
CLUSTER SESSION - NORMAL MODE
<MGSVP;
ORDERED
<

ACT     MSCBC1                    AD-244  TIME 240425 1121  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-21650000042          84562      82297
4-213661009500          2524       1985
4-33689002869            340        293
4-33191224620624         678        532
4-447953700246             3          3
4-33695000399            998        802
4-33689002861            403        347
4-33191226760011         255        213
4-447802002262             3          3
4-22366700065            117         91
4-33689002903            298        226
4-33191221770046          90         75
4-393519999399           105         87
4-33191485010104          23         21
4-19703769825             15          6
4-86156548226              1          1
4-21650000035             18         16
4-33191316540124        2143       1380
4-17057969230             75         63
4-393205800010           151        110
4-33609009907             48         37
4-32495000640             83         71
4-33191485010106          33         33
4-4792001162              12          8
4-33191237690039         381        285
4-201179008819           179        140
4-919895000041             6          5
4-33689002863            312        271
4-14054729214              8          7
4-33689002905            265        220
4-33609009905             41         35
4-447782000228             3          1
4-32495000620             91         80
4-491700600144             7          6
4-33191224620625         651        503
4-23599999952             15         13
4-33609009909             54         45
4-33191485010082          27         25
4-46708000984            427        406
4-331912237600174        207        162
4-331912626920012          2          2
4-4367603033000            3          3
4-212661000746            37         30
4-33191346560139          19         15
4-491700600126           338        243
4-212663990030           243        205
4-33191227900042          80         66
4-33191443850019          56         45
4-37069899884             11         10
4-447802002746            11         10
4-33191905420181           3          3
4-14054729246              6          5
4-33191491720129          22         19
4-12404492443              7          6
4-358508771120             6          6
4-393358999735             1          1
4-966593888389           120         89
4-33191225070198         431        392
4-331912237600175        175        141
4-212699790097            62         47
4-33660005100            396        284
4-33689002902            275        222
4-491700600138             3          2
4-14054729200             10         10
4-33191306940031          29         20
4-48602003040             35         31
4-32495000610             90         80
4-639170000337            11          7
4-966575486140            13         12
4-201059968206            11          9
4-447953700227            12         10
4-33191393490278          11         10
4-331912237600173        159        133
4-33689002868            306        259
4-33689002901            281        233
4-861856834001             1          1
4-352061000240             5          5
4-13603399661            109         20
4-33191491720141           9          9
4-376301055                3          3
4-38640006170              6          2
4-861325485400             1          1
4-491760003020            13         11
4-12404492442             12         11
4-8613436470000            2          1
4-201059968072             7          7
4-33191221770047          70         57
4-96558859632             41         35
4-19703769822             29         15
4-33689002904            279        241
4-491760003007            15         13
4-331913736910002          2          1
4-221766600939            28         23
4-212661000772           118        107
4-14054729344              7          7
4-33191905420193           3          2
4-35988000201             39         30
4-491760003001            19         16
4-393358999737           112         87
4-8615164920000            1          0
4-33689002862            319        269
4-33689002877            233        206
4-639180009000             6          2
4-33609009912             59         45
4-33689002870            315        276
4-33191221770048          74         57
