HLRADDR,Number of SUBS,NSUBA,Country Name,Operator
4-21650000042,84562,82297,Tunisia,Orange
4-213661009500,2524,1985,Algeria,Mobilis
4-33689002869,340,293,France,Orange France
4-33191224620624,678,532,France,
4-447953700246,3,3,United Kingdom,EE
4-33695000399,998,802,France,Free Mobile
4-33689002861,403,347,France,Orange France
4-33191226760011,255,213,France,
4-447802002262,3,3,United Kingdom,O2
4-22366700065,117,91,Mali,Sotelma
4-33689002903,298,226,France,Orange France
4-33191221770046,90,75,France,
4-393519999399,105,87,Italy,
4-33191485010104,23,21,France,
4-19703769825,15,6,United States,
4-86156548226,1,1,China,
4-21650000035,18,16,Tunisia,Orange
4-33191316540124,2143,1380,France,
4-17057969230,75,63,Canada,
4-393205800010,151,110,Italy,WIND
4-33609009907,48,37,France,SFR
4-32495000640,83,71,Belgium,Orange
4-33191485010106,33,33,France,
4-4792001162,12,8,Norway,telia
4-33191237690039,381,285,France,
4-201179008819,179,140,Egypt,Etisalat
4-919895000041,6,5,India,Airtel
4-33689002863,312,271,France,Orange France
4-14054729214,8,7,United States,
4-33689002905,265,220,France,Orange France
4-33609009905,41,35,France,SFR
4-447782000228,3,1,United Kingdom,Three
4-32495000620,91,80,Belgium,Orange
4-491700600144,7,6,Germany,T-Mobile
4-33191224620625,651,503,France,
4-23599999952,15,13,Chad,Tigo
4-33609009909,54,45,France,SFR
4-33191485010082,27,25,France,
4-46708000984,427,406,Sweden,Telenor Sverige
4-331912237600174,207,162,France,
4-331912626920012,2,2,France,
4-4367603033000,3,3,Austria,T-Mobile AT
4-212661000746,37,30,Morocco,Maroc Telecom
4-33191346560139,19,15,France,
4-491700600126,338,243,Germany,T-Mobile
4-212663990030,243,205,Morocco,Méditel
4-33191227900042,80,66,France,
4-33191443850019,56,45,France,
4-37069899884,11,10,Lithuania,Telia
4-447802002746,11,10,United Kingdom,O2
4-33191905420181,3,3,France,
4-14054729246,6,5,United States,
4-33191491720129,22,19,France,
4-12404492443,7,6,United States,
4-358508771120,6,6,Finland,Elisa
4-393358999735,1,1,Italy,TIM
4-966593888389,120,89,Saudi Arabia,Zain
4-33191225070198,431,392,France,
4-331912237600175,175,141,France,
4-212699790097,62,47,Morocco,Inwi
4-33660005100,396,284,France,Bouygues
4-33689002902,275,222,France,Orange France
4-491700600138,3,2,Germany,T-Mobile
4-14054729200,10,10,United States,
4-33191306940031,29,20,France,
4-48602003040,35,31,Poland,T-Mobile
4-32495000610,90,80,Belgium,Orange
4-639170000337,11,7,Philippines,Globe
4-966575486140,13,12,Saudi Arabia,Red Bull Mobile
4-201059968206,11,9,Egypt,Vodafone
4-447953700227,12,10,United Kingdom,EE
4-33191393490278,11,10,France,
4-331912237600173,159,133,France,
4-33689002868,306,259,France,Orange France
4-33689002901,281,233,France,Orange France
4-861856834001,1,1,China,
4-352061000240,5,5,Luxembourg,
4-13603399661,109,20,United States,
4-33191491720141,9,9,France,
4-376301055,3,3,Andorra,Andorra Telecom
4-38640006170,6,2,Slovenia,A1
4-861325485400,1,1,China,
4-491760003020,13,11,Germany,
4-12404492442,12,11,United States,
4-8613436470000,2,1,China,China Mobile
4-201059968072,7,7,Egypt,Vodafone
4-33191221770047,70,57,France,
4-96558859632,41,35,Kuwait,VIVA
4-19703769822,29,15,United States,
4-33689002904,279,241,France,Orange France
4-491760003007,15,13,Germany,
4-331913736910002,2,1,France,
4-221766600939,28,23,Senegal,Free
4-212661000772,118,107,Morocco,Maroc Telecom
4-14054729344,7,7,United States,
4-33191905420193,3,2,France,
4-35988000201,39,30,Bulgaria,
4-491760003001,19,16,Germany,
4-393358999737,112,87,Italy,TIM
4-8615164920000,1,0,China,China Mobile
4-33689002862,319,269,France,Orange France
4-33689002877,233,206,France,Orange France
