VLR NUMBER,Number of SUBS,Country Name,Operator
218929999965,620,Libya,Libyana
218929999964,585,Libya,Libyana
218929999915,264,Libya,Libyana
33689001860,247,France,Orange France
33689001020,244,France,Orange France
33689001850,233,France,Orange France
33689001140,232,France,Orange France
33689001130,228,France,Orange France
33689001250,223,France,Orange France
33689001210,222,France,Orange France
33689001280,219,France,Orange France
218929999963,217,Libya,Libyana
33689001890,212,France,Orange France
213661009440,147,Algeria,Mobilis
21350001122,138,Algeria,
213661009406,128,Algeria,Mobilis
213661009402,123,Algeria,Mobilis
213661009436,122,Algeria,Mobilis
393519999052,117,Italy,
393519999054,117,Italy,
213661009410,116,Algeria,Mobilis
213661009432,114,Algeria,Mobilis
22236395006,107,Mauritania,Mattel
393519999056,103,Italy,
393519999051,100,Italy,
97477920131,99,Qatar,Vodafone
97477920132,96,Qatar,Vodafone
393519999053,91,Italy,
393519999055,91,Italy,
966593888301,88,Saudi Arabia,Zain
966593888303,88,Saudi Arabia,Zain
32495001210,87,Belgium,Orange
213661009910,83,Algeria,Mobilis
966593888302,75,Saudi Arabia,Zain
966593888307,73,Saudi Arabia,Zain
491760000085,72,Germany,
32495000210,71,Belgium,Orange
32495006211,66,Belgium,Orange
491760000087,66,Germany,
212663991053,61,Morocco,Méditel
491760000086,61,Germany,
33191393490348,61,France,
14385500140,60,Canada,
33191393490347,59,France,
491760000083,58,Germany,
17057969810,57,Canada,
491760000088,57,Germany,
33191393490352,57,France,
491760000084,56,Germany,
14388500140,53,Canada,
33191393490351,51,France,
17057969809,50,Canada,
212663991052,49,Morocco,Méditel
491760000089,47,Germany,
33191905420273,46,France,
17057969808,44,Canada,
212663991054,44,Morocco,Méditel
218929999914,44,Libya,Libyana
33191905420256,43,France,
971550930001,42,United Arab Emirates,du
33191905420293,41,France,
971550930004,39,United Arab Emirates,du
33695000063,38,France,Free Mobile
33695000060,36,France,Free Mobile
33191227900017,36,France,
33695000061,34,France,Free Mobile
33695000062,34,France,Free Mobile
213661009930,34,Algeria,Mobilis
21350001123,32,Algeria,
33191393490349,32,France,
33191485010029,32,France,
33191905420258,30,France,
331912237600111,30,France,
218929999925,29,Libya,Libyana
971550930002,29,United Arab Emirates,du
41794943000,27,Switzerland,Swisscom
971550930003,27,United Arab Emirates,du
33191393490343,27,France,
33191393490350,27,France,
33191905420298,26,France,
33191491720287,25,France,
33191962771008,25,France,
41794941000,24,Switzerland,Swisscom
41794942000,24,Switzerland,Swisscom
96596909460,23,Kuwait,Zain
21350001120,22,Algeria,
213770000349,22,Algeria,Djezzy
33191227900001,22,France,
33191485010422,22,France,
33191905420228,22,France,
33191905420305,22,France,
33689001870,21,France,Orange France
41765900572,21,Switzerland,Sunrise
213770000345,21,Algeria,Djezzy
628160211619,21,Indonesia,Indosat Ooredoo Hutchison
33191222400002,21,France,
33191393490353,21,France,
33191485010423,21,France,
21350001124,20,Algeria,
35677794000,20,Malta,Melita Mobile
41765900571,20,Switzerland,Sunrise
213770000343,20,Algeria,Djezzy
351960990068,20,Portugal,MEO
96899300230,19,Oman,Omantel
352061000040,19,Luxembourg,
33191491720284,19,France,
33191491720285,19,France,
33191962770804,19,France,
40744006151,18,Romania,Orange
33191443850136,18,France,
33191491720248,18,France,
33191491720288,18,France,
331912237600112,18,France,
420733008101,17,Czechia,T-Mobile
33191443850111,17,France,
33191491720289,17,France,
33191491720292,17,France,
316530230000,16,Netherlands,
33191225070200,16,France,
33191226760007,16,France,
33191443850014,16,France,
22222997004,15,Mauritania,Chinguitel
33609004120,15,France,SFR
96596909450,15,Kuwait,Zain
351960990067,15,Portugal,MEO
33191224620019,15,France,
33191226760010,15,France,
33191236720195,15,France,
33191491720239,15,France,
33191491720245,15,France,
